paper_id,conference,year,citation,num_modules,num_files,num_root_files,total_lines,contain_docker,contain_data,num_lang,main_language,num_duplicates,has_shell,num_lists,code_blocks,code_elements,contain_project_page,contain_trained_model,dynamic_images,images,tables,has_video,github_links,framework,from_organization,has_license,stars
1131,CVPR,2016,61,3,37,1,2256,0,1,2,matlab,3,0,4,15,0,1,0,0,0,0,0,0,matlab,personal,1,7
1132,CVPR,2016,13,0,6,6,789,0,1,1,matlab,1,0,2,0,0,0,0,0,0,0,0,0,Unknown,personal,0,8
1133,CVPR,2016,165,1,40,16,2010,0,1,1,matlab,5,0,1,0,0,0,0,0,0,0,0,0,matlab,personal,0,7
1134,CVPR,2016,21,1,12,12,889,0,1,1,matlab,4,0,3,3,6,1,0,0,0,0,0,0,matlab,personal,0,8
1136,CVPR,2016,19,3,14,15,764,0,1,2,matlab,0,1,2,2,2,0,0,0,1,0,0,0,matlab,personal,0,6
1137,CVPR,2016,5,7,217,5,25505,0,1,2,matlab,40,0,3,0,0,0,0,0,0,0,0,0,matlab,personal,0,5
1139,CVPR,2016,321,1,8,8,251,0,1,1,matlab,0,0,1,1,2,0,0,0,3,0,0,2,matlab,personal,0,8
1140,CVPR,2016,65,4,290,5,29129,0,0,2,matlab,19,0,0,0,0,0,0,0,0,0,0,0,matlab,personal,1,5
1141,CVPR,2016,22,4,23,1,579,0,1,2,matlab,2,1,4,0,1,1,0,0,0,0,0,0,matlab,personal,0,4
1142,CVPR,2016,8,0,4,9,104,0,1,1,matlab,0,0,0,0,0,0,0,0,0,0,0,0,matlab,personal,0,7
1143,CVPR,2016,14,4,63,0,3401,0,0,1,matlab,18,0,0,0,4,1,0,0,0,0,0,0,Unknown,personal,0,4
1146,CVPR,2016,386,9,62,7,7101,0,1,3,lua,0,1,3,16,18,0,1,0,2,0,0,10,torch,personal,1,1170
1147,ICCV,2015,1230,3,6,2,378,0,0,3,matlab,0,1,4,16,18,1,1,0,2,0,0,7,tensorflow,organization,1,1181
1148,CVPR,2015,7049,18,39,8,2206,0,1,1,python,44,0,4,0,3,0,1,0,0,0,0,2,caffe,personal,0,2077
1149,ICCV,2015,1317,4,18,2,609,0,1,3,shell,0,1,6,0,0,0,1,0,0,0,0,3,caffe,personal,1,296
1150,CVPR,2015,497,7,25,4,1634,0,0,5,lua,0,1,2,20,3,0,0,0,0,0,0,1,torch,personal,1,298
1151,ICCV,2015,197,2,221,85,20400,0,1,3,matlab,32,0,2,1,0,1,0,0,0,0,0,0,Unknown,personal,1,306
1152,CVPR,2015,418,6,226,5,32008,0,1,2,matlab,17,0,2,0,4,1,0,0,5,0,0,0,matlab,personal,0,283
1153,ICCV,2015,600,7,318,6,61009,0,1,5,matlab,191,1,2,0,0,1,0,0,12,0,0,1,Unknown,personal,1,179
1154,ICCV,2015,294,8,138,3,9106,0,1,4,matlab,9,1,5,0,27,0,1,0,0,0,0,2,matlab,organization,1,175
1155,ICCV,2015,27,5,96,11,26647,0,0,2,c/c++,0,0,0,0,0,0,0,0,0,0,1,0,Unknown,personal,1,172
1156,CVPR,2015,599,3,16,2,1334,0,0,1,matlab,5,0,1,0,0,0,0,0,0,0,0,0,matlab,personal,1,154
1157,ICCV,2015,47,4,125,6,15818,0,1,3,matlab,51,0,1,31,1,1,1,0,0,0,0,2,matlab,personal,1,153
1158,CVPR,2015,242,5,41,11,1649,0,1,2,matlab,2,0,5,4,21,0,1,0,0,0,1,4,matlab,personal,1,138
1159,ICCV,2015,102,12,335,5,79759,0,1,5,c/c++,1,1,7,0,0,1,1,0,1,0,0,3,caffe,personal,1,119
1160,ICCV,2015,56,2,31,24,6391,0,1,3,c/c++,0,1,1,1,0,0,0,0,0,0,0,0,Unknown,personal,1,104
1161,CVPR,2015,67,9,202,3,107964,0,1,4,c/c++,1,1,3,5,4,0,0,0,0,0,0,0,Unknown,personal,0,90
1162,ICCV,2015,289,1,3,5,585,0,0,1,python,0,0,2,2,6,0,0,0,0,0,0,1,caffe,personal,1,72
1163,ICCV,2015,259,2,3,2,56,0,0,2,lua,0,0,1,8,15,0,0,0,0,0,0,0,torch,personal,1,76
1164,CVPR,2015,369,3,198,6,57255,0,0,5,c/c++,4,1,5,1,0,0,0,0,0,0,0,0,caffe,personal,0,66
1165,CVPR,2015,350,4,37,32,2987,0,1,1,matlab,9,0,1,0,23,0,1,0,0,0,0,0,matlab,personal,0,66
1166,CVPR,2015,297,7,13,5,1317,0,0,2,matlab,1,0,2,0,10,1,1,0,1,0,0,0,caffe,personal,1,51
1167,CVPR,2015,130,8,251,5,16289,0,1,3,matlab,20,1,1,7,32,0,1,0,1,0,0,0,Unknown,personal,0,48
1168,CVPR,2015,157,7,20,0,662,0,1,2,shell,0,1,4,0,6,0,1,0,0,0,0,0,caffe,personal,0,44
1169,ICCV,2015,234,4,130,8,19304,0,1,5,matlab,26,1,2,2,8,1,1,0,0,0,0,0,matlab,personal,1,45
1170,ICCV,2015,165,6,10,2,1234,0,0,1,matlab,1,0,1,3,6,0,0,0,0,0,0,0,matlab,organization,0,35
1171,CVPR,2015,75,7,36,3,1273,0,1,2,matlab,13,1,8,0,37,1,0,0,0,0,0,0,matlab,personal,1,34
1172,ICCV,2015,73,5,18,1,2245,0,1,1,matlab,18,0,0,4,0,0,0,0,0,0,0,0,Unknown,personal,1,33
1173,CVPR,2015,65,3,607,1,124432,0,1,4,matlab,137,1,0,0,0,0,0,0,0,0,0,0,matlab,personal,0,30
1174,ICCV,2015,347,0,4,5,669,0,1,1,python,2,0,2,0,0,1,0,0,0,0,0,0,tensorflow,personal,1,195
1175,CVPR,2015,121,5,89,14,8382,0,1,3,matlab,6,0,0,0,3,1,0,0,0,0,0,0,caffe,personal,0,27
1176,CVPR,2015,63,12,69,1,12024,0,0,2,c/c++,6,0,10,1,0,1,0,0,6,0,0,0,matlab,personal,1,27
1177,CVPR,2015,162,16,399,12,74911,0,0,5,c/c++,27,1,14,14,0,0,1,0,0,0,0,0,caffe,personal,0,25
1178,CVPR,2015,119,11,1210,1,112350,0,0,4,matlab,545,1,1,4,0,0,0,0,0,0,0,0,Unknown,personal,1,23
1179,ICCV,2015,693,9,295,5,75754,0,1,5,c/c++,1,1,3,0,0,0,1,0,1,0,0,2,caffe,personal,1,863
1180,CVPR,2015,113,33,898,2,371083,0,1,5,c/c++,1,1,2,0,56,1,1,0,0,0,0,5,Unknown,personal,1,25
1181,ICCV,2015,63,0,3,4,411,0,0,1,python,1,0,0,1,0,1,0,0,0,0,0,0,matlab,personal,1,19
1182,ICCV,2015,61,9,62,1,2938,0,1,1,matlab,4,0,3,0,0,1,0,0,0,0,0,0,matlab,personal,0,17
1183,ICCV,2015,64,7,21,4,597,0,1,2,matlab,0,1,6,5,25,1,1,0,0,0,0,0,matlab,personal,0,18
1184,ICCV,2015,22,5,67,6,12952,0,1,2,c/c++,0,1,2,0,0,0,0,0,0,0,0,1,Unknown,personal,0,15
1185,ICCV,2015,41,6,244,7,67906,0,0,4,c/c++,0,1,1,0,0,1,1,0,0,0,0,0,caffe,personal,1,14
1186,ICCV,2015,216,0,6,7,2289,0,0,1,python,4,0,1,2,1,0,0,0,0,0,0,0,caffe,personal,1,14
1187,CVPR,2015,51,2,38,3,2314,0,1,2,matlab,0,0,0,0,1,0,1,0,0,0,1,2,matlab,personal,0,13
1188,ICCV,2015,15,2,7,6,748,0,0,1,matlab,1,0,3,0,0,1,0,0,0,0,0,0,Unknown,personal,1,9
1189,CVPR,2015,61,4,46,2,3795,0,0,1,matlab,0,0,3,1,3,0,0,0,0,0,0,0,matlab,personal,0,10
1190,ICCV,2015,168,6,557,8,99064,0,1,5,matlab,23,1,5,1,12,0,1,0,0,0,0,3,matlab,personal,0,8
1191,ICCV,2015,27,2,0,0,0,0,1,0,,0,0,1,0,3,0,0,0,0,0,0,0,Unknown,personal,0,8
1192,ICCV,2015,21,8,202,8,16434,0,1,3,matlab,26,0,3,0,0,0,0,0,2,0,0,1,matlab,personal,0,7
1193,ICCV,2015,9,2,17,0,1273,0,1,1,matlab,8,0,0,0,1,0,0,0,0,0,0,0,Unknown,personal,1,7
1194,CVPR,2015,10,4,31,4,1405,0,0,1,matlab,2,0,1,1,4,0,0,0,0,0,0,0,matlab,personal,0,6
